revistas,scielo_url,publicador,status
"Revista Tecnología en Marcha","http://www.scielo.sa.cr/scielo.php?script=sci_serial&pid=0379-3982&lng=en","Instituto Tecnológico de Costa Rica","current"
"Revista veterinaria","http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1669-6840&lng=en","Universidad Nacional del Nordeste, Facultad de Ciencias Veterinarias","current"
"RISTI - Revista Ibérica de Sistemas e Tecnologias de Informação","http://www.scielo.mec.pt/scielo.php?script=sci_serial&pid=1646-9895&lng=en","AISTI - Associação Ibérica de Sistemas e Tecnologias de Informação","current"
"Saber","http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=1315-0162&lng=en","Universidad de Oriente","current"
"SAIEE Africa Research Journal","http://www.scielo.org.za/scielo.php?script=sci_serial&pid=1991-1696&lng=en","SAIEE Publications","current"
"Soldagem & Inspeção","http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-9224&lng=en","Associação Brasileira de Soldagem","current"
"South African Journal of Industrial Engineering","http://www.scielo.org.za/scielo.php?script=sci_serial&pid=2224-7890&lng=en","The Southern African Institute for Industrial Engineering","current"
"South African Journal of Science","http://www.scielo.org.za/scielo.php?script=sci_serial&pid=0038-2353&lng=en","Academy of Science of South Africa","current"
"Tec Empresarial","http://www.scielo.sa.cr/scielo.php?script=sci_serial&pid=1659-3359&lng=en","Instituto Tecnológico de Costa Rica","current"
"Tecciencia","http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1909-3667&lng=en","Universidad ECCI","current"
"Tecno Lógicas","http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0123-7799&lng=en","Instituto Tecnológico Metropolitano - ITM","current"
"Tecnología Química","http://scielo.sld.cu/scielo.php?script=sci_serial&pid=2224-6185&lng=en","Universidad de Oriente","current"
"Tecnología y ciencias del agua","http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-2422&lng=en","Instituto Mexicano de Tecnología del Agua, Coordinación de Comunicación, Participación e Información","current"
"Tecnura","http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0123-921X&lng=en","Universidad Distrital Francisco José de Caldas","current"
"Terra Latinoamericana","http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0187-5779&lng=en","Sociedad Mexicana de la Ciencia del Suelo A.C.","current"
"Universidad, Ciencia y Tecnología","http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=1316-4821&lng=en","Universidad Nacional Experimental Politécnica Antonio José de Sucre, UNEXPO, Vicerrectorado Puerto Ordaz.","current"
"Water SA","http://www.scielo.org.za/scielo.php?script=sci_serial&pid=1816-7950&lng=en","Water Research Commission (WRC)","current"
